MoveEvent(x=1514, y=661, time=1719664952.213074)
MoveEvent(x=1518, y=659, time=1719664952.213074)
MoveEvent(x=1524, y=658, time=1719664952.214198)
MoveEvent(x=1529, y=656, time=1719664952.215285)
MoveEvent(x=1533, y=655, time=1719664952.216294)
MoveEvent(x=1540, y=652, time=1719664952.216294)
MoveEvent(x=1541, y=652, time=1719664952.2189095)
MoveEvent(x=1545, y=652, time=1719664952.2189095)
MoveEvent(x=1549, y=650, time=1719664952.2206366)
MoveEvent(x=1553, y=649, time=1719664952.2219398)
MoveEvent(x=1558, y=647, time=1719664952.2219398)
MoveEvent(x=1562, y=646, time=1719664952.2219398)
MoveEvent(x=1567, y=643, time=1719664952.2246451)
MoveEvent(x=1569, y=642, time=1719664952.2246451)
MoveEvent(x=1574, y=640, time=1719664952.2266705)
MoveEvent(x=1578, y=637, time=1719664952.2266705)
MoveEvent(x=1581, y=636, time=1719664952.2266705)
MoveEvent(x=1585, y=634, time=1719664952.2292945)
MoveEvent(x=1588, y=630, time=1719664952.2308228)
MoveEvent(x=1593, y=628, time=1719664952.2308228)
MoveEvent(x=1595, y=627, time=1719664952.2308228)
MoveEvent(x=1600, y=625, time=1719664952.2337174)
MoveEvent(x=1603, y=623, time=1719664952.2337174)
MoveEvent(x=1606, y=620, time=1719664952.23537)
MoveEvent(x=1610, y=617, time=1719664952.23537)
MoveEvent(x=1613, y=614, time=1719664952.23537)
MoveEvent(x=1616, y=613, time=1719664952.2380228)
MoveEvent(x=1619, y=608, time=1719664952.2390282)
MoveEvent(x=1623, y=607, time=1719664952.2400978)
MoveEvent(x=1626, y=602, time=1719664952.2400978)
MoveEvent(x=1630, y=599, time=1719664952.2424698)
MoveEvent(x=1632, y=596, time=1719664952.2424698)
MoveEvent(x=1636, y=593, time=1719664952.2424698)
MoveEvent(x=1638, y=591, time=1719664952.2450907)
MoveEvent(x=1642, y=588, time=1719664952.2466056)
MoveEvent(x=1645, y=583, time=1719664952.2466056)
MoveEvent(x=1648, y=580, time=1719664952.2466056)
MoveEvent(x=1651, y=576, time=1719664952.2490227)
MoveEvent(x=1654, y=573, time=1719664952.2490227)
MoveEvent(x=1657, y=569, time=1719664952.2510703)
MoveEvent(x=1660, y=566, time=1719664952.2510703)
